replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
860,0.778662133891,0.807838717797,0.714145383104,0.507322175732,0.845,0.853380753138,0.860986693598,0.78030993619,0.351464435146,0.851,0.918369246862,0.922805960509,0.8174291939,0.261506276151,0.894,0.884898535565,0.880378292158,0.81514084507,0.350418410042,0.924
861,0.699859202714,0.689104227032,0.632456140351,0.619168787108,0.834,0.837312128923,0.777607804584,0.757520510483,0.301950805768,0.827,0.88496692112,0.861025091381,0.783505154639,0.260390161154,0.853,0.879515691264,0.848462720345,0.794130724767,0.288379983036,0.888
862,0.726738069989,0.745038910525,0.679845708775,0.566277836691,0.825,0.817101802757,0.795122319756,0.762298850575,0.363732767762,0.826,0.893813361612,0.895038144638,0.814880425155,0.270413573701,0.853,0.880950159067,0.874254544087,0.814914645103,0.324496288441,0.899
863,0.709520973154,0.674256843974,0.642007926024,0.624161073826,0.859,0.808512583893,0.76689461406,0.713158987132,0.459731543624,0.859,0.853659395973,0.833622286204,0.741379310345,0.347315436242,0.85,0.826244966443,0.78845028869,0.744752308984,0.401845637584,0.877
864,0.731596972564,0.729271204921,0.670339761249,0.579943235572,0.85,0.813158940397,0.783799300891,0.748906386702,0.403973509934,0.852,0.867343424787,0.861571883133,0.770533446232,0.320719016083,0.847,0.838212866604,0.820491076858,0.766565612819,0.388836329234,0.88
865,0.707963566635,0.735055120326,0.651376146789,0.597315436242,0.82,0.859890699904,0.817607454323,0.793420416062,0.230105465005,0.813,0.910579098754,0.901404108042,0.82464028777,0.205177372963,0.858,0.914084372004,0.900134544081,0.836820083682,0.227229146692,0.896
866,0.766925545571,0.799630971528,0.73975308642,0.510911424904,0.865,0.841578947368,0.863874021699,0.798496946923,0.356867779204,0.846,0.898518613607,0.91845844862,0.83763003166,0.273427471117,0.871,0.871383825417,0.885366634502,0.830032243206,0.335044929397,0.896
867,0.765988433228,0.792655760037,0.696171059175,0.511041009464,0.827,0.836190325973,0.821381802553,0.777017783858,0.355415352261,0.85,0.902092534175,0.909132584432,0.811120917917,0.261829652997,0.855,0.871349106204,0.867828118893,0.805716837874,0.34174553102,0.897
868,0.759272108844,0.760988875118,0.671028037383,0.545918367347,0.838,0.828246598639,0.798045441042,0.736708860759,0.420068027211,0.868,0.902245748299,0.888169431069,0.764181523501,0.327380952381,0.901,0.861412414966,0.832487011452,0.765111561866,0.432823129252,0.942
869,0.762034862385,0.754227031591,0.691114245416,0.55871559633,0.854,0.830018348624,0.803094160195,0.738761662426,0.44495412844,0.871,0.897514678899,0.891437663597,0.775527077305,0.338532110092,0.899,0.85046146789,0.826562906775,0.771698889346,0.439449541284,0.933
